time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.001,-0.08,0.98,0.05,-0.02,0.00,-0.04,-0.03,0.00,-0.00,1018.98
0.002,-0.09,0.97,0.05,-0.02,0.00,-0.04,-0.03,0.00,-0.00,1018.98
0.003,-0.09,0.97,0.05,-0.02,0.00,-0.04,-0.01,-0.01,-0.01,1018.98
0.025,-0.09,0.98,0.08,-0.02,0.00,-0.04,-0.01,-0.01,-0.01,1018.98
0.025,-0.09,0.98,0.08,-0.01,0.04,0.17,-0.01,-0.01,-0.01,1018.98
0.047,-0.08,0.98,0.04,-0.01,0.04,0.17,-0.01,-0.01,-0.01,1018.98
0.047,-0.08,0.98,0.04,-0.01,0.04,0.17,-0.01,-0.01,-0.01,1018.98
0.064,-0.08,0.98,0.04,-0.01,0.04,0.17,-0.01,-0.01,-0.01,1018.98
0.075,-0.08,0.98,0.04,-0.01,0.04,0.17,-0.04,-0.02,-0.01,1018.98
0.096,-0.08,0.98,0.04,0.03,-0.02,-0.10,-0.04,-0.02,-0.01,1018.98
0.097,-0.09,0.97,0.07,0.03,-0.02,-0.10,-0.04,-0.02,-0.01,1018.98
0.098,-0.09,0.98,0.08,0.03,-0.02,-0.10,-0.04,-0.02,-0.01,1018.98
0.132,-0.10,0.97,0.09,0.03,-0.02,-0.10,-0.04,-0.02,-0.01,1018.98
0.134,-0.10,0.97,0.09,0.03,-0.02,-0.10,-0.04,-0.02,-0.01,1018.97
0.145,-0.10,0.97,0.09,0.03,-0.02,-0.10,-0.04,-0.02,-0.01,1018.97
0.145,-0.10,0.97,0.09,0.03,-0.02,-0.10,-0.03,-0.01,-0.01,1018.97
0.164,-0.09,0.98,0.06,0.03,-0.02,-0.10,-0.03,-0.01,-0.01,1018.97
0.165,-0.09,0.98,0.06,0.01,0.00,-0.10,-0.03,-0.01,-0.01,1018.97
0.166,-0.09,0.98,0.06,0.01,0.00,-0.10,-0.03,-0.01,-0.01,1018.98
0.201,-0.10,0.98,0.06,0.01,0.00,-0.10,-0.03,-0.01,-0.01,1018.98
0.202,-0.11,0.99,0.06,0.01,0.00,-0.10,-0.03,-0.01,-0.01,1018.98
0.214,-0.11,0.99,0.06,0.01,0.00,-0.10,-0.01,0.01,0.03,1018.98
0.235,-0.11,0.99,0.06,-0.12,-0.01,0.09,-0.01,0.01,0.03,1018.98
0.236,-0.11,0.99,0.06,-0.12,-0.01,0.09,-0.01,0.01,0.03,1018.98
0.236,-0.12,0.98,0.09,-0.12,-0.01,0.09,-0.01,0.01,0.03,1018.98
0.247,-0.12,0.98,0.09,-0.12,-0.01,0.09,-0.01,0.01,0.03,1018.98
0.264,-0.09,0.97,0.11,-0.12,-0.01,0.09,-0.01,0.01,0.03,1018.98
0.284,-0.09,0.97,0.11,-0.12,-0.01,0.09,0.03,0.01,0.12,1018.98
0.285,-0.09,0.97,0.06,-0.12,-0.01,0.09,0.03,0.01,0.12,1018.98
0.305,-0.10,0.97,0.10,-0.12,-0.01,0.09,0.03,0.01,0.12,1018.98
0.305,-0.10,0.97,0.10,-0.31,0.05,0.01,0.03,0.01,0.12,1018.98
0.328,-0.08,0.97,0.09,-0.31,0.05,0.01,0.03,0.01,0.12,1018.98
0.329,-0.08,0.97,0.09,-0.31,0.05,0.01,0.03,0.01,0.12,1018.97
0.355,-0.08,0.97,0.09,-0.31,0.05,0.01,0.10,-0.00,0.14,1018.97
0.356,-0.05,0.97,0.04,-0.31,0.05,0.01,0.10,-0.00,0.14,1018.97
0.367,-0.03,0.98,0.02,-0.31,0.05,0.01,0.10,-0.00,0.14,1018.97
0.367,-0.03,0.98,0.02,-0.31,0.05,0.01,0.10,-0.00,0.14,1018.99
0.375,-0.05,0.99,0.05,-0.31,0.05,0.01,0.10,-0.00,0.14,1018.99
0.376,-0.05,0.99,0.05,-0.19,-0.08,0.29,0.10,-0.00,0.14,1018.99
0.396,-0.06,0.99,0.07,-0.19,-0.08,0.29,0.10,-0.00,0.14,1018.99
0.425,-0.07,1.00,0.05,-0.19,-0.08,0.29,0.10,-0.00,0.14,1018.99
0.426,-0.07,1.00,0.05,-0.19,-0.08,0.29,0.07,-0.05,0.05,1018.99
0.445,-0.05,0.98,0.11,-0.19,-0.08,0.29,0.07,-0.05,0.05,1018.99
0.446,-0.05,0.98,0.11,0.21,0.01,-0.12,0.07,-0.05,0.05,1018.99
0.448,-0.05,0.98,0.11,0.21,0.01,-0.12,0.07,-0.05,0.05,1018.99
0.463,-0.06,0.99,0.10,0.21,0.01,-0.12,0.07,-0.05,0.05,1018.99
0.5,-0.06,0.99,0.10,0.21,0.01,-0.12,0.25,-0.15,0.01,1018.99
0.501,-0.07,1.00,0.04,0.21,0.01,-0.12,0.25,-0.15,0.01,1018.99
0.515,-0.07,0.99,0.06,0.21,0.01,-0.12,0.25,-0.15,0.01,1018.99
0.516,-0.09,0.98,0.06,0.21,0.01,-0.12,0.25,-0.15,0.01,1018.99
0.516,-0.09,0.98,0.06,0.07,0.06,0.43,0.25,-0.15,0.01,1018.99
0.528,-0.09,0.98,0.06,0.07,0.06,0.43,0.25,-0.15,0.01,1018.89
0.564,-0.09,0.98,0.06,0.07,0.06,0.43,0.36,-0.22,0.15,1018.89
0.566,-0.14,1.00,0.02,0.07,0.06,0.43,0.36,-0.22,0.15,1018.89
0.567,-0.21,1.03,0.02,0.07,0.06,0.43,0.36,-0.22,0.15,1018.89
0.568,-0.21,1.03,0.02,0.07,0.06,0.43,0.36,-0.22,0.15,1018.88
0.585,-0.23,1.09,-0.01,0.07,0.06,0.43,0.36,-0.22,0.15,1018.88
0.586,-0.23,1.09,-0.01,-0.25,0.09,0.36,0.36,-0.22,0.15,1018.88
0.594,-0.25,1.12,-0.02,-0.25,0.09,0.36,0.36,-0.22,0.15,1018.88
0.635,-0.25,1.12,-0.02,-0.25,0.09,0.36,0.28,-0.31,0.81,1018.88
